,path_id,link
0,p1,1042310505
1,p1, 1050510634
2,p1, 1063410589
3,p1, 1058910572
4,p1, 1057210422
5,p1, 1042210489
6,p1, 1048910421
7,p1, 1042110949
8,p1, 1094910459
9,p1, 1045910773
10,p1, 1077310425
11,p1, 1042510450
12,p1, 1045010478
13,p1, 1047810652
14,p1, 1065210653
15,p2,1042310570
16,p2, 1057010615
17,p2, 1061510755
18,p2, 1075510614
19,p2, 1061410692
20,p2, 1069210613
21,p2, 1061310612
22,p2, 1061210611
23,p2, 1061110426
24,p2, 1042610630
25,p2, 1063010486
26,p2, 10486999123
27,p2, 99912310626
28,p2, 1062610476
29,p2, 1047610625
30,p2, 1062510497
31,p2, 1049710425
32,p2, 1042510450
33,p2, 1045010478
34,p2, 1047810652
35,p2, 1065210653
36,p3,1042310505
37,p3, 1050510634
38,p3, 1063410589
39,p3, 1058910572
40,p3, 1057210422
41,p3, 1042210489
42,p3, 1048910657
43,p3, 1065710611
44,p3, 1061110426
45,p3, 1042610630
46,p3, 1063010486
47,p3, 10486999123
48,p3, 99912310626
49,p3, 1062610476
50,p3, 1047610625
51,p3, 1062510497
52,p3, 1049710425
53,p3, 1042510450
54,p3, 1045010478
55,p3, 1047810652
56,p3, 1065210653
57,p4,1042310505
58,p4, 1050510634
59,p4, 1063410589
60,p4, 1058910736
61,p4, 1073610612
62,p4, 1061210611
63,p4, 1061110426
64,p4, 1042610630
65,p4, 1063010486
66,p4, 10486999123
67,p4, 99912310626
68,p4, 1062610476
69,p4, 1047610625
70,p4, 1062510497
71,p4, 1049710425
72,p4, 1042510450
73,p4, 1045010478
74,p4, 1047810652
75,p4, 1065210653
76,p5,1042310505
77,p5, 1050510634
78,p5, 1063410589
79,p5, 1058910572
80,p5, 1057210422
81,p5, 1042210489
82,p5, 1048910421
83,p5, 1042110949
84,p5, 1094910459
85,p5, 1045910681
86,p5, 1068110684
87,p5, 1068410689
88,p5, 1068910688
89,p5, 1068810632
90,p5, 1063210653
91,p6,1042310505
92,p6, 1050510634
93,p6, 1063410736
94,p6, 1073610612
95,p6, 1061210611
96,p6, 1061110426
97,p6, 1042610630
98,p6, 1063010486
99,p6, 10486999123
100,p6, 99912310626
101,p6, 1062610476
102,p6, 1047610625
103,p6, 1062510497
104,p6, 1049710425
105,p6, 1042510450
106,p6, 1045010478
107,p6, 1047810652
108,p6, 1065210653
109,p7,1042310505
110,p7, 1050510634
111,p7, 1063410589
112,p7, 1058910572
113,p7, 1057210422
114,p7, 1042210489
115,p7, 1048910421
116,p7, 1042110949
117,p7, 1094910459
118,p7, 1045910773
119,p7, 1077310478
120,p7, 1047810652
121,p7, 1065210653
122,p7, 1065310632
123,p7, 1063210653
124,p8,1042310505
125,p8, 1050510634
126,p8, 1063410589
127,p8, 1058910572
128,p8, 1057210422
129,p8, 1042210489
130,p8, 1048910421
131,p8, 1042110949
132,p8, 1094910459
133,p8, 1045910681
134,p8, 1068110684
135,p8, 1068410893
136,p8, 1089310684
137,p8, 1068410689
138,p8, 1068910688
139,p8, 1068810632
140,p8, 1063210653
141,p9,1094810622
142,p9, 1062210599
143,p9, 1059910633
144,p9, 1063310598
145,p9, 1059810597
146,p9, 1059710732
147,p9, 1073210682
148,p9, 1068210750
149,p9, 1075010826
150,p9, 1082610685
151,p9, 1068510687
152,p9, 1068710680
153,p9, 1068010686
154,p9, 1068610679
155,p9, 1067910953
156,p9, 1095310683
157,p9, 1068310681
158,p9, 1068110684
159,p9, 1068410689
160,p9, 1068910688
161,p9, 1068810632
